Date,Company,Role,Link,Status,Match Score
2026-06-10 00:16:35,Shunya Ekai Tech,Mern Stack Developer,https://www.naukri.com/job-listings-mern-stack-developer-shunya-ekai-tech-gurugram-1-to-4-years-150524501586,skipped_low_match_50.3,50.3
2026-06-10 00:16:35,Maxxzoom,MERN Stack Developer,https://www.naukri.com/job-listings-mern-stack-developer-maxxzoom-india-pvt-ltd-pune-0-to-1-years-041225501164,skipped_low_match_57.5,57.5
2026-06-10 00:16:37,Coddle Technologies,MERN Stack Developer,https://www.naukri.com/job-listings-mern-stack-developer-coddle-technologies-private-ltd-bengaluru-0-to-2-years-120226500917,skipped_low_match_0.0,0.0
2026-06-10 00:16:54,Zyphra Tech Solutions Inc,Java Full Stack Developer - Fresher,https://www.naukri.com/job-listings-java-full-stack-developer-fresher-zyphra-tech-solutions-inc-hyderabad-0-to-2-years-080626502238,skipped_low_match_0.0,0.0
2026-06-10 00:16:54,Accufy,Python Developer,https://www.naukri.com/job-listings-python-developer-accufy-hyderabad-0-to-4-years-090626502768,skipped_low_match_62.1,62.1
2026-06-10 00:16:54,DAZN,Conversational Developer,https://www.naukri.com/job-listings-conversational-developer-dazn-group-hyderabad-1-to-4-years-030626501679,skipped_low_match_45.5,45.5
2026-06-10 00:16:57,LPL Financial,"Engineer II, Software Development",https://www.naukri.com/job-listings-engineer-ii-software-development-lpl-financial-hyderabad-1-to-2-years-090626501122,skipped_low_match_0.0,0.0
2026-06-10 00:16:57,The Hartford,Sr Staff Software Engineer NodeJS,https://www.naukri.com/job-listings-sr-staff-software-engineer-nodejs-the-hartford-hyderabad-1-to-7-years-090626501127,skipped_low_match_55.0,55.0
2026-06-10 00:16:57,DAZN,"Software Engineer, IN",https://www.naukri.com/job-listings-software-engineer-in-dazn-group-hyderabad-1-to-5-years-030626501712,skipped_low_match_56.6,56.6
2026-06-10 00:16:57,Accenture,Software Development Engineer,https://www.naukri.com/job-listings-software-development-engineer-accenture-solutions-pvt-ltd-hyderabad-1-to-4-years-080626921979,skipped_low_match_59.8,59.8
2026-06-10 00:17:11,Synectics Inc,Java Full Stack Developer,https://www.naukri.com/job-listings-java-full-stack-developer-synectics-inc-bengaluru-0-to-2-years-050626500891,skipped_low_match_63.0,63.0
2026-06-10 00:17:13,Mirrar,Full Stack AI Developer,https://www.naukri.com/job-listings-full-stack-ai-developer-mirrar-mumbai-delhi-ncr-bengaluru-1-to-2-years-020626919850,skipped_low_match_0.0,0.0
2026-06-10 00:17:13,Estalvis Advisors,Full Stack - Junior Developer,https://www.naukri.com/job-listings-full-stack-junior-developer-estalvis-advisors-private-limited-bengaluru-1-to-4-years-090626504705,skipped_low_match_62.1,62.1
2026-06-10 00:17:42,Posnic Innovations,Full Stack Developer,https://www.naukri.com/job-listings-full-stack-developer-posnic-innovations-chennai-0-to-4-years-010526502987,skipped_low_match_45.5,45.5
2026-06-10 00:17:42,Synergylabs,Full Stack Developer,https://www.naukri.com/job-listings-full-stack-developer-synergylabs-technology-opc-private-limited-gurugram-0-to-3-years-201125502886,skipped_low_match_49.6,49.6
2026-06-10 00:17:45,Tech Stalwart Solution,Full Stack Developer,https://www.naukri.com/job-listings-full-stack-developer-tech-stalwart-solution-private-limited-kolkata-mumbai-new-delhi-hyderabad-pune-chennai-bengaluru-0-to-3-years-040225508253,skipped_low_match_0.0,0.0
